,name,url,author,publisher,date,price,rank,comments,quote
14,安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生,人民文学出版社,1997-08,25.00元,9.2,120312人评价,为了争取未来的一代
15,撒哈拉的故事,https://book.douban.com/subject/1060068/,三毛,哈尔滨出版社,2003-8,15.80元,9.2,150247人评价,游荡的自由灵魂
16,杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李,译林出版社,2012-9,32.00元,9.2,128976人评价,有一种东西不能遵循从众原则，那就是——人的良心
17,呐喊,https://book.douban.com/subject/1449351/,鲁迅,人民文学出版社,1973-3,0.36元,9.2,142454人评价,新文学的第一声呐喊
18,明朝那些事儿（1-9）,https://book.douban.com/subject/3674537/,当年明月,中国海关出版社,2009-4,358.20元,9.2,148973人评价,不拘一格的历史书写
19,沉默的大多数,https://book.douban.com/subject/1054685/,王小波,中国青年出版社,1997-10,27.00元,9.1,139511人评价,沉默是沉默者的通行证
20,失踪的孩子,https://book.douban.com/subject/30172069/,[意] 埃莱娜·费兰特,人民文学出版社,2018-7,62.00元,9.2,67125人评价,我的整个生命，只是一场为了提升社会地位的低俗斗争。
21,新名字的故事,https://book.douban.com/subject/26986954/,[意] 埃莱娜·费兰特,人民文学出版社,2017-4,59.00元,9.2,77519人评价,探索青年时代的激情、困惑、挣扎、背叛和失去
22,中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆,生活·读书·新知三联书店,2001,12.00元,9.2,63026人评价,一部简明的“中国政治制度史”
23,局外人,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪,上海译文出版社,2010-8,22.00元,9.1,209740人评价,人生在世，永远也不该演戏作假
24,人类简史,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利,中信出版社,2014-11,68.00元,9.1,183101人评价,跟着人类一同走过十万年
25,平凡的世界（全三部）,https://book.douban.com/subject/1200840/,路遥,人民文学出版社,2005-1,64.00元,9.0,305811人评价,中国当代城乡生活全景
26,邓小平时代,https://book.douban.com/subject/20424526/,[美] 傅高义,生活·读书·新知三联书店,2013-1,88.00元,9.3,56158人评价,个人命运背后的历史变局
27,悉达多,https://book.douban.com/subject/26980487/,[德] 赫尔曼·黑塞,天津人民出版社,2017-1,32.00元,9.3,50785人评价, 
28,围城,https://book.douban.com/subject/1008145/,钱锺书,人民文学出版社,1991-2,19.00,9.0,429950人评价,幽默的语言和对生活深刻的观察
29,野草,https://book.douban.com/subject/1915958/,鲁迅,人民文学出版社,1973-3,0.20元,9.5,39135人评价,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
30,笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,金庸,生活·读书·新知三联书店,1994-5,76.80元,9.1,105247人评价,欲练此功，必先自宫
31,白鹿原,https://book.douban.com/subject/10564071/,陈忠实,人民文学出版社,2012-9,39.00元,9.2,90882人评价,一轴关于我们民族灵魂的现实主义画卷
